ID,Nome,"Descrição curta",Preço,Images
375,"Livro A Fragilidade Humana e a Soberania Divina","Prezando por uma abordagem ao mesmo tempo conservadora e confessional, o autor busca destrinchar todos os problemas levantados pelo livro de Jó, tais como a questão relativa à origem e natureza do mal, bem como a fala da esposa de Jó, além de outros de natureza puramente exegética. Esta obra também traduz para linguagem teológica aquilo que é, em seu princípio, de natureza puramente filosófica.","19,90","375|https://jdreditora.com.br/wp-content/uploads/2025/07/AFragilidadeHumana.jpg"
377,"Livro A Igreja Eleita","Dentro deste conceito, in a Igreja Eleita, o mestre em teologia do Novo testamento, Douglas Baptista, se aprofunda em um estudo completo e relevante sobre a carta de Paulo aos Efésios, que tem por finalidade nos conduzir para a verdadeira adoração, gratidão e a uma melhoria de vida cristã.","19,90","377|https://jdreditora.com.br/wp-content/uploads/2025/07/AigrejaEleitaFrente-198x281-1.png"
414,"Livro Apenas dois caminhos","Escolha o seu destino: Entre o bem e o mal, vida ou morte","24,99","414|https://jdreditora.com.br/wp-content/uploads/2025/07/A2C_198x281-1.png"
416,"e-book Apenas dois caminhos","Escolha o seu destino: Entre o bem e o mal, vida ou morte","24,99","/wp-content/uploads/2025/07/A2C_198x281-1.png"
417,"e-book Energia solar residencial","Reduza sua conta de luz em até 95%","1,99",https://jdreditora.com.br/wp-content/uploads/2025/07/energiaSolar198x281-1.jpg
418,"Livro O segredo da fé inabalável","Sem fé ninguém pode agradar a Deus","16,48",https://jdreditora.com.br/wp-content/uploads/2025/07/odfi198x281-1.png
419,"e-book O segredo da fé inabalável","Sem fé ninguém pode agradar a Deus","16,48",https://jdreditora.com.br/wp-content/uploads/2025/07/odfi198x281-1.png
420,"e-book Importação simplificada passo a passo","O comércio internacional tem se tornado cada vez mais importante","24,99",https://jdreditora.com.br/wp-content/uploads/2025/07/ImpSimplificada198x281-1.jpg
421,"Livro Dons Espirituais e Ministeriais","O objetivo desta obra é adentrar um pouco na essência das manifestações espirituais","19,90",https://jdreditora.com.br/wp-content/uploads/2025/07/DonsEspirituais198x281.png
422,"Livro O Governo Divino em Mãos Humanas","A liderança de Davi e de Salomão","19,90",https://jdreditora.com.br/wp-content/uploads/2025/07/Divino198x281.png
423,"Livreto A Santa Ceia","A ceia é uma das celebrações mais comoventes da Igreja Cristã","11,98",https://jdreditora.com.br/wp-content/uploads/2024/10/SantaCeia198x281.png
424,"Livreto Conquistando os outros pela amizade","Evangelizar os muçulmanos através da amizade","6,00",https://jdreditora.com.br/wp-content/uploads/2024/10/Conquistando198x281.png
425,"Livreto Manual do Visitador Cristão","Planejamento e a prática da visitação","8,94",https://jdreditora.com.br/wp-content/uploads/2024/10/Manual198x281.png
426,"Livro Uma esposa para Isaque","Escrito para esposas de obreiros","11,38",https://jdreditora.com.br/wp-content/uploads/2025/07/UmaEsposa198x281.png
427,"Livreto Orientações Práticas para um Casamento Feliz","Assuntos relacionados a casamento, sexo, criação dos filhos","10,18",https://jdreditora.com.br/wp-content/uploads/2024/10/Casamento198x281.png
428,"Livreto Retorno aos Princípios","Voltemos aos princípios!","10,18",https://jdreditora.com.br/wp-content/uploads/2024/10/Retorno198x281.png
429,"Livreto Lidando com Pessoas Difíceis","Lidando com Pessoas Difíceis esclarece e auxilia","7,14",https://jdreditora.com.br/wp-content/uploads/2024/10/lidando198x281.png
430,"Livreto Luz Para a Sua Vida","Sua cidade pode ser alcançada através da Palavra Viva","7,14",https://jdreditora.com.br/wp-content/uploads/2025/07/luz.png
617,"Escova Secadora Rotativa Diamond Rotating Conair","O poder dos cristais de diamante","699,90",https://jdreditora.com.br/wp-content/uploads/2025/07/801590-800-800.webp
630,"Fritadeira Elétrica Airfryer Vision Max Ichef Polishop 5,7L","Design moderno, intuitivo e prático","959,90",https://jdreditora.com.br/wp-content/uploads/2025/07/2658075-800-800.webp
3001,"Livro Exemplo 1","Descrição de exemplo","10,00",https://via.placeholder.com/300x450?text=Livro+3001
3002,"Livro Exemplo 2","Descrição de exemplo","10,00",https://via.placeholder.com/300x450?text=Livro+3002
3003,"Livro Exemplo 3","Descrição de exemplo","10,00",https://via.placeholder.com/300x450?text=Livro+3003
3004,"Livro Exemplo 4","Descrição de exemplo","10,00",https://via.placeholder.com/300x450?text=Livro+3004
3005,"Livro Exemplo 5","Descrição de exemplo","10,00",https://via.placeholder.com/300x450?text=Livro+3005
3006,"Livro Exemplo 6","Descrição de exemplo","10,00",https://via.placeholder.com/300x450?text=Livro+3006
3007,"Livro Exemplo 7","Descrição de exemplo","10,00",https://via.placeholder.com/300x450?text=Livro+3007
3008,"Livro Exemplo 8","Descrição de exemplo","10,00",https://via.placeholder.com/300x450?text=Livro+3008
3009,"Livro Exemplo 9","Descrição de exemplo","10,00",https://via.placeholder.com/300x450?text=Livro+3009
3010,"Livro Exemplo 10","Descrição de exemplo","10,00",https://via.placeholder.com/300x450?text=Livro+3010
3011,"Livro Exemplo 11","Descrição de exemplo","10,00",https://via.placeholder.com/300x450?text=Livro+3011
3012,"Livro Exemplo 12","Descrição de exemplo","10,00",https://via.placeholder.com/300x450?text=Livro+3012
3013,"Livro Exemplo 13","Descrição de exemplo","10,00",https://via.placeholder.com/300x450?text=Livro+3013
3014,"Livro Exemplo 14","Descrição de exemplo","10,00",https://via.placeholder.com/300x450?text=Livro+3014
3015,"Livro Exemplo 15","Descrição de exemplo","10,00",https://via.placeholder.com/300x450?text=Livro+3015
